compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,pIC50,n_measurements,pIC50_iqr,document_year_min,document_year_max
TRAIN_00001,AAAGFCUDAXPDAA-CIQZPUONSA-N,CHEMBL1915983,COC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)C1=O,O=C(CN1CCCC1=O)NC(CCNCc1ccccc1)Cc1ccccc1,6.36,2,0.04,2011,2011
TRAIN_00002,AAAWKNFGNGANRE-UKILVPOCSA-N,CHEMBL561217,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)NS(=O)(=O)CCC2,O=C(NC(CCNC1CC1)Cc1ccccc1)c1cc2c3c(ccn3CCCS(=O)(=O)N2)c1,6.31,1,0.0,2009,2009
TRAIN_00003,AAEYBQRVLJBANX-RJSONGRPSA-N,CHEMBL1210335,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(NS(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1,O=C(CNCCC(Cc1ccccc1)NC(=O)c1cccc(NS(=O)(=O)Cc2ccccc2)c1)NC1CCCCC1,5.26,1,0.0,2010,2010
TRAIN_00004,AAHFBZODUHKGBC-CCDWMCETSA-N,CHEMBL2151236,CC(=O)N[C@@H](Cc1ccc(F)cc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,c1ccc(CCCCNC2CC3(CCC3)Oc3ncccc32)cc1,7.97,2,0.22,2012,2012
TRAIN_00005,AARJXZHQDZOZNY-UHFFFAOYSA-N,CHEMBL2443370,CC1=C(C(=O)Nc2nc(C)cs2)C(c2ccco2)C(C(=O)Nc2nc(C)cs2)=C(C)N1,O=C(Nc1nccs1)C1=CNC=C(C(=O)Nc2nccs2)C1c1ccco1,5.17,1,0.0,2013,2013
TRAIN_00006,AARMPADYPUTMDB-IQVBETABSA-N,CHEMBL1097344,Cc1cccc(S(=O)(=O)N2CCN[C@@H]([C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(=O)c3cc(C(=O)N[C@H](C)c4ccccc4)cc(N4CCCCS4(=O)=O)c3)C2)c1,O=C(NCc1ccccc1)c1cc(C(=O)NC(Cc2ccccc2)CC2CN(S(=O)(=O)c3ccccc3)CCN2)cc(N2CCCCS2(=O)=O)c1,8.1,1,0.0,2010,2010
TRAIN_00007,AAWSEFDIDJLXJF-JTSKRJEESA-N,CHEMBL2178717,CN1C(=N)N[C@@]2(c3cc(-c4cccc(C#N)c4)cs3)CN(c3ncccn3)C[C@H]2C1=O,N=C1NC(=O)C2CN(c3ncccn3)CC2(c2cc(-c3ccccc3)cs2)N1,7.51,1,0.0,2012,2012
TRAIN_00008,ABAOMGTVATUZIR-UHFFFAOYSA-N,CHEMBL1824351,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2csc(Cl)c2)N=C1N,O=C1NC=NC1(c1ccsc1)c1cccc(-c2cncnc2)c1,7.1,1,0.0,2011,2011
TRAIN_00009,ABBOKULWGCGPJC-UHFFFAOYSA-N,CHEMBL3642628,CC1(c2cccc(NC(=O)c3ccc(Cl)cc3Cl)c2)CCSC(N)=N1,O=C(Nc1cccc(C2CCSC=N2)c1)c1ccccc1,5.89,1,0.0,2014,2014
TRAIN_00010,ABEHCBWGIABROV-AJRFNQODSA-N,CHEMBL1209105,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCCO3)c2)CCCCC1,c1ccc(CCCCNC2(c3cccc(C4CCCO4)c3)CCCCC2)cc1,6.75,1,0.0,2010,2010
TRAIN_00011,ABGNOCQONIAVFH-RXBHZZDJSA-N,CHEMBL217374,CC[C@H](NCC1Cc2cccc(c2)CCCCc2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(=O)NCC(C)C,O=C1NCCc2cccc(c2)CCCCc2cccc1c2,6.495,2,0.555,2006,2006
TRAIN_00012,ABOBTXLSWCANMO-UHFFFAOYSA-N,CHEMBL379334,O=C(Nc1cc(-c2ccccc2)ccc1N1CCN(Cc2ccccc2)CC1)c1cccc2ccccc12,O=C(Nc1cc(-c2ccccc2)ccc1N1CCN(Cc2ccccc2)CC1)c1cccc2ccccc12,5.9,1,0.0,2006,2006
TRAIN_00013,ABTRYYRXKMVKDI-VQTJNVASSA-N,CHEMBL1258233,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccs2)CCCCC1,c1ccc(CCCCNC2(c3cccs3)CCCCC2)cc1,4.52,1,0.0,2010,2010
TRAIN_00014,ABXPXXXDZPDMFT-BIKMQQNJSA-N,CHEMBL540414,CC(C)[C@H](NC(=O)C(O)(CCC(=O)Nc1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)CCc1ccccc1)C(=O)Nc1ccccc1,O=C(CCC(CCc1ccccc1)C(=O)NCC(=O)Nc1ccccc1)Nc1cccc(C(=O)NCc2ccccc2)c1,6.57,2,0.07,2009,2009
TRAIN_00015,ACANUDRDOXFSRF-MJPADRBUSA-N,CHEMBL3891756,CC(C)N1C(=O)C2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1C[C@]21CC[C@@H](OC(F)F)CC1,O=C1NC=NC12c1cc(-c3ccccc3)ccc1CC21CCCCC1,6.58,1,0.0,2015,2015
TRAIN_00016,ACDPDEUYTFMJKV-LYCWUKGISA-N,CHEMBL1791020,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1cccc(C(=O)O)c1)C(C)C,c1ccccc1,6.6,1,0.0,2003,2003
TRAIN_00017,ACFCAAGMGYDSTG-IZZNHLLZSA-N,CHEMBL1257891,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(O)cc(C(C)(C)C)c2)CCCCC1,c1ccc(CCCCNC2(c3ccccc3)CCCCC2)cc1,6.77,1,0.0,2010,2010
TRAIN_00018,ACFHKZODPNAMLG-KXBFYZLASA-N,CHEMBL3427253,Cc1noc(CC(C)(C)O)c1[C@@H]1C[C@@](C)(c2ccc(F)cc2F)N=C(N)S1,C1=NC(c2ccccc2)CC(c2cnoc2)S1,6.96,1,0.0,2015,2015
TRAIN_00019,ACFKJXYIJBZGDF-UHFFFAOYSA-N,CHEMBL3703264,CCc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(CC2)CO3)c1,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21CC1,5.1,1,0.0,2015,2015
TRAIN_00020,ACFXYVAYTWMZGA-SFHVURJKSA-N,CHEMBL230349,CN(c1cc(C(=O)N[C@H](CO)Cc2cc(F)cc(F)c2)cc(NCC2CC2)n1)S(C)(=O)=O,O=C(NCCc1ccccc1)c1ccnc(NCC2CC2)c1,5.96,1,0.0,2007,2007
TRAIN_00021,ACMNQBSTEIFJRZ-GEDNVKPRSA-N,CHEMBL3639876,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(F)c1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,7.45,1,0.0,2015,2015
TRAIN_00022,ACZODTCKQQJIBF-VZSAFFHGSA-N,CHEMBL3691381,C[C@H]1SC(N)=N[C@@]2(c3cc(-c4cncnc4)ccc3F)COCC[C@@H]12,C1=NC2(c3cccc(-c4cncnc4)c3)COCCC2CS1,5.52,1,0.0,2015,2015
TRAIN_00023,ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,5.5,1,0.0,2012,2012
TRAIN_00024,ADFKLDIQJGXISH-UHFFFAOYSA-N,CHEMBL3673233,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(N)c2ccccc21,C1=NC2(c3ccccc31)c1cc(OCC3CC3)ccc1CC21CCCCC1,7.89,1,0.0,2015,2015
TRAIN_00025,ADHBNWBXFLWOBM-XBHMSOGKSA-N,CHEMBL3688820,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(CO)c1,O=C(Nc1cccc(C2N=COC3CC32)c1)c1ccccn1,7.77,1,0.0,2015,2015
TRAIN_00026,ADLOETABPCBQJL-UHFFFAOYSA-N,CHEMBL3659646,Cn1cc(C2(Cc3ccccc3)CCc3ccccc32)nc1N,c1ccc(CC2(c3c[nH]cn3)CCc3ccccc32)cc1,4.92,1,0.0,2013,2013
TRAIN_00027,ADLPXDDRQKBSPD-UHFFFAOYSA-N,CHEMBL253421,N#Cc1ccc(COc2ccc(-c3ccc(-c4ccccc4)n3CC(=O)NC(=N)N)cc2)cc1,c1ccc(COc2ccc(-c3ccc(-c4ccccc4)[nH]3)cc2)cc1,5.72,1,0.0,2008,2008
TRAIN_00028,ADMMMBVWAVNVKS-UHFFFAOYSA-N,CHEMBL583213,CC(C)(C)c1cccc(C2(c3ccccc3)N=C(N)N3CCCN=C32)c1,C1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,4.52,1,0.0,2009,2009
TRAIN_00029,ADNNRZBATPWJKB-WDSOQIARSA-N,CHEMBL3127076,C[C@]12CCOC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC1CCOCC12,6.565,2,0.185,2014,2014
TRAIN_00030,ADUWXOLELPWYPY-LOSJGSFVSA-N,CHEMBL401338,COc1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CCS(=O)(=O)NCCC(C)C)c1,c1ccc(CCCCNCc2ccccc2)cc1,5.3,1,0.0,2007,2007
TRAIN_00031,AEAGJGOSNUCBGG-FQEVSTJZSA-N,CHEMBL3670320,C[C@@]1(c2cc(NC(=O)c3cnc(OCc4ncc[nH]4)cn3)ccc2F)C=CSC(N)=N1,O=C(Nc1cccc(C2C=CSC=N2)c1)c1cnc(OCc2ncc[nH]2)cn1,6.77,1,0.0,2014,2014
