compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,n_measurements,pIC50_iqr,document_year_min,document_year_max,scaffold_novel
EXT_00001,AACUJFVOHGRMTR-DPXNYUHVSA-N,CHEMBL4204869,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,O=C(Nc1cccc(C23COCC2CSC=N3)c1)c1cnccn1,2,0.455,2019,2025,0
EXT_00002,AADNZYVDYKLQBN-SFHVURJKSA-N,CHEMBL4874536,CN1C(N)=N[C@](C)(c2cc(-n3[se]c4cc(F)ccc4c3=O)ccc2F)CS1(=O)=O,O=c1c2ccccc2[se]n1-c1cccc(C2CS(=O)(=O)NC=N2)c1,1,0.0,2021,2021,1
EXT_00003,AAFCQPLQQXESIV-UHFFFAOYSA-N,CHEMBL5430322,O=c1cc(OCCCN2CCC(NCc3ccc(F)c(F)c3)CC2)c2ccc(-c3cccnc3)cc2o1,O=c1cc(OCCCN2CCC(NCc3ccccc3)CC2)c2ccc(-c3cccnc3)cc2o1,1,0.0,2022,2022,1
EXT_00004,AANLQBIDWIHDGD-RTBURBONSA-N,CHEMBL4159574,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)CO[C@H]3C(F)(F)F)c2)cn1,O=C(Nc1cccc(C2COCC=N2)c1)c1cnccn1,2,0.255,2018,2018,0
EXT_00005,AAWPKTSUNVJJFB-IOTVGOTFSA-N,CHEMBL5857457,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(NC(=O)c3ccccc3)=N4)c2)cn1,O=C(NC1=NC2(c3cccc(C=Cc4cnccn4)c3)CN(c3ncccn3)CC2CS1)c1ccccc1,1,0.0,2023,2023,1
EXT_00006,ABXOSVSNRQUCLU-UHFFFAOYSA-N,CHEMBL5273978,Cc1cccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)c1,O=C1Cc2cc(N3C(=O)c4ccccc4C3=O)ccc2CN1C(=O)c1ccccc1,1,0.0,2021,2021,1
EXT_00008,ACDPGWGMCNPVMI-JYTMSLEBSA-N,CHEMBL5805689,C[C@]1(c2cc(/C=C(\F)c3ccc(Cl)cn3)ccc2F)N=C(N)S[C@@]2(CC#N)C[C@H]21,C(=Cc1ccccn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00009,ACNOVNMEJRDKTF-QAWPSLBMSA-N,CHEMBL5913417,C[C@]1(O)CCN(C(=O)[C@]23C[C@H]2[C@@](C)(c2cc(/C=C(\F)c4ccc(C#N)cn4)ccc2F)N=C(N)S3)C1,O=C(N1CCCC1)C12CC1C(c1cccc(C=Cc3ccccn3)c1)N=CS2,2,0.085,2019,2019,1
EXT_00010,ADCBAOTWERXLAP-UHFFFAOYSA-N,CHEMBL1929421,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,1,0.0,2019,2019,1
EXT_00012,ADHGDLWOSUIHCG-UHFFFAOYSA-N,CHEMBL6031089,COC1CCC2(CC1)Cc1ccc(OCC3CCCC3)cc1C21NC(=S)N(C)C1=O,O=C1NC(=S)NC12c1cc(OCC3CCCC3)ccc1CC21CCCCC1,1,0.0,2019,2019,1
EXT_00013,AEKYEHPSMXADSM-AWVLJADFSA-N,CHEMBL5985739,C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)OC[C@@H]1OCC(F)(F)F,C(=Cc1ccccn1)c1cccc(C2CCOC=N2)c1,2,0.475,2021,2021,1
EXT_00014,AEQVJPPDDFGNIU-CMDGGOBGSA-N,CHEMBL6168950,Nc1ccccc1C(=O)/C=C/c1cccc(Cl)c1Cl,O=C(C=Cc1ccccc1)c1ccccc1,1,0.0,2024,2024,0
EXT_00015,AETJKGSARAIFKB-UHFFFAOYSA-N,CHEMBL4284107,CN(C)Cc1ccccc1-c1ccc(NCCCN2CCCCC2)c(OCCN2CCCCC2)c1,c1ccc(-c2ccc(NCCCN3CCCCC3)c(OCCN3CCCCC3)c2)cc1,2,0.04,2018,2018,1
