molecule_id,smiles,log_solubility
0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.77
1,Cc1occc1C(=O)Nc2ccccc2,-3.3
2,CC(C)=CCCC(C)=CC(=O),-2.06
3,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
4,c1ccsc1,-1.33
5,c2ccc1scnc1c2,-1.5
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32
7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
8,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42
10,O=C1CCCN1,1.07
11,Clc1ccc2ccccc2c1,-4.14
12,CCCC=C,-2.68
13,CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64
14,CCCCCCCCCCCCCC,-7.96
15,CC(C)Cl,-1.41
16,CCC(C)CO,-0.47
18,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
19,CCCCCCCCCC(C)O,-2.94
20,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,-7.43
21,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999
22,CCOP(=S)(OCC)SCSCC,-4.11
25,CCCCCCCO,-1.81
26,Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39
27,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661
28,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9
29,CCCCCCCC(=O)OC,-3.17
31,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
32,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805
33,ClC(=C)Cl,-1.64
34,Cc1cccc2c1Cc3ccccc32,-5.22
35,CCCCC=O,-0.85
36,N(c1ccccc1)c2ccccc2,-3.504
38,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
39,CCCCCCCI,-4.81
40,c1c(Cl)cccc1c2ccccc2,-4.88
41,OCCCC=C,-0.15
42,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
43,CC(C)C1CCC(C)CC1O,-2.53
44,CC(C)OC=O,-0.63
45,CCCCCC(C)O,-1.55
47,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
48,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,-4.76
49,c2c(C)cc1nc(C)ccc1c2,-1.94
50,CCCCCCC#C,-3.66
51,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-2.17
52,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
53,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523
54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-8.6
56,CC(C)CCC(C)(C)C,-5.05
57,Cc1ccc(C)c2ccccc12,-4.14
58,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
59,CCCC(=O)C,-0.19
60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-9.15
