policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
random,0,30,2,0.02531645569620253,8.6020603
random,0,40,2,0.02531645569620253,8.6020603
random,0,50,2,0.02531645569620253,8.6020603
random,0,60,2,0.02531645569620253,8.6020603
random,0,70,2,0.02531645569620253,8.6020603
random,0,80,2,0.02531645569620253,8.6020603
random,0,90,2,0.02531645569620253,8.6020603
random,0,100,2,0.02531645569620253,8.6020603
random,0,110,2,0.02531645569620253,8.6020603
random,0,120,2,0.02531645569620253,8.6020603
random,0,130,2,0.02531645569620253,8.6020603
random,0,140,2,0.02531645569620253,8.6020603
random,0,150,3,0.0379746835443038,8.6020603
random,1,30,1,0.012658227848101266,9.1870871
random,1,40,2,0.02531645569620253,9.1870871
random,1,50,4,0.05063291139240506,9.1870871
random,1,60,4,0.05063291139240506,9.1870871
random,1,70,5,0.06329113924050633,9.1870871
random,1,80,5,0.06329113924050633,9.1870871
random,1,90,6,0.0759493670886076,9.1870871
random,1,100,6,0.0759493670886076,9.1870871
random,1,110,7,0.08860759493670886,9.1870871
random,1,120,7,0.08860759493670886,9.1870871
random,1,130,8,0.10126582278481013,9.1870871
random,1,140,8,0.10126582278481013,9.1870871
random,1,150,8,0.10126582278481013,9.1870871
random,2,30,2,0.02531645569620253,8.5228786
random,2,40,4,0.05063291139240506,8.9586077
random,2,50,5,0.06329113924050633,8.9586077
random,2,60,5,0.06329113924050633,8.9586077
random,2,70,5,0.06329113924050633,8.9586077
random,2,80,5,0.06329113924050633,8.9586077
random,2,90,7,0.08860759493670886,8.9586077
random,2,100,7,0.08860759493670886,8.9586077
random,2,110,9,0.11392405063291139,8.9586077
random,2,120,9,0.11392405063291139,8.9586077
random,2,130,9,0.11392405063291139,8.9586077
random,2,140,10,0.12658227848101267,9.0
random,2,150,10,0.12658227848101267,9.0
random,3,30,0,0.0,8.3010302
random,3,40,0,0.0,8.3279018
random,3,50,2,0.02531645569620253,9.0
random,3,60,3,0.0379746835443038,9.0
random,3,70,3,0.0379746835443038,9.0
random,3,80,3,0.0379746835443038,9.0
random,3,90,3,0.0379746835443038,9.0
random,3,100,3,0.0379746835443038,9.0
random,3,110,5,0.06329113924050633,9.0
random,3,120,5,0.06329113924050633,9.0
random,3,130,5,0.06329113924050633,9.0
random,3,140,6,0.0759493670886076,9.0
random,3,150,6,0.0759493670886076,9.0
random,4,30,0,0.0,7.6903696
random,4,40,1,0.012658227848101266,8.6989698
random,4,50,1,0.012658227848101266,8.6989698
random,4,60,3,0.0379746835443038,8.6989698
random,4,70,4,0.05063291139240506,8.6989698
random,4,80,6,0.0759493670886076,8.6989698
random,4,90,6,0.0759493670886076,8.6989698
random,4,100,7,0.08860759493670886,8.6989698
random,4,110,7,0.08860759493670886,8.6989698
random,4,120,7,0.08860759493670886,8.6989698
random,4,130,8,0.10126582278481013,8.7447271
random,4,140,8,0.10126582278481013,8.7447271
random,4,150,8,0.10126582278481013,8.7447271
random,5,30,2,0.02531645569620253,9.0
random,5,40,3,0.0379746835443038,9.0
random,5,50,4,0.05063291139240506,9.0
random,5,60,6,0.0759493670886076,9.0
random,5,70,7,0.08860759493670886,9.0
random,5,80,7,0.08860759493670886,9.0
random,5,90,7,0.08860759493670886,9.0
random,5,100,7,0.08860759493670886,9.0
random,5,110,8,0.10126582278481013,9.0
random,5,120,10,0.12658227848101267,9.0506096
random,5,130,11,0.13924050632911392,9.0506096
random,5,140,13,0.16455696202531644,9.0506096
random,5,150,13,0.16455696202531644,9.0506096
random,6,30,2,0.02531645569620253,9.004365
random,6,40,2,0.02531645569620253,9.004365
random,6,50,3,0.0379746835443038,9.004365
random,6,60,3,0.0379746835443038,9.004365
random,6,70,6,0.0759493670886076,9.004365
random,6,80,7,0.08860759493670886,9.0506096
random,6,90,7,0.08860759493670886,9.0506096
random,6,100,7,0.08860759493670886,9.0506096
random,6,110,7,0.08860759493670886,9.0506096
random,6,120,8,0.10126582278481013,9.0506096
random,6,130,8,0.10126582278481013,9.0506096
random,6,140,8,0.10126582278481013,9.0506096
random,6,150,8,0.10126582278481013,9.0506096
random,7,30,3,0.0379746835443038,10.522879
random,7,40,3,0.0379746835443038,10.522879
random,7,50,3,0.0379746835443038,10.522879
random,7,60,5,0.06329113924050633,10.522879
random,7,70,6,0.0759493670886076,10.522879
random,7,80,6,0.0759493670886076,10.522879
random,7,90,6,0.0759493670886076,10.522879
random,7,100,7,0.08860759493670886,10.522879
random,7,110,10,0.12658227848101267,10.522879
random,7,120,10,0.12658227848101267,10.522879
random,7,130,10,0.12658227848101267,10.522879
random,7,140,11,0.13924050632911392,10.522879
random,7,150,12,0.1518987341772152,10.522879
random,8,30,3,0.0379746835443038,8.6989698
random,8,40,3,0.0379746835443038,8.6989698
random,8,50,4,0.05063291139240506,8.6989698
random,8,60,5,0.06329113924050633,8.6989698
random,8,70,6,0.0759493670886076,8.6989698
