seed,policy,queries,targets_found,target_recall,best_pIC50
0,random,20,0,0.0,8.6989698
0,random,25,0,0.0,8.6989698
0,random,30,0,0.0,8.6989698
0,random,35,0,0.0,8.6989698
0,random,40,0,0.0,8.6989698
0,random,45,0,0.0,8.6989698
0,random,50,0,0.0,8.6989698
0,random,55,0,0.0,8.6989698
0,random,60,0,0.0,8.6989698
0,ucb_surrogate,20,0,0.0,8.6989698
0,ucb_surrogate,25,0,0.0,8.6989698
0,ucb_surrogate,30,0,0.0,8.6989698
0,ucb_surrogate,35,0,0.0,8.6989698
0,ucb_surrogate,40,0,0.0,8.6989698
0,ucb_surrogate,45,0,0.0,8.6989698
0,ucb_surrogate,50,0,0.0,8.6989698
0,ucb_surrogate,55,0,0.0,8.6989698
0,ucb_surrogate,60,0,0.0,8.6989698
1,random,20,0,0.0,8.5228786
1,random,25,0,0.0,8.5228786
1,random,30,0,0.0,8.5228786
1,random,35,0,0.0,8.5228786
1,random,40,0,0.0,8.5228786
1,random,45,0,0.0,8.5228786
1,random,50,0,0.0,8.5228786
1,random,55,0,0.0,8.5228786
1,random,60,0,0.0,8.5228786
1,ucb_surrogate,20,0,0.0,8.5228786
1,ucb_surrogate,25,0,0.0,8.5228786
1,ucb_surrogate,30,1,0.0625,9.0
1,ucb_surrogate,35,1,0.0625,9.0
1,ucb_surrogate,40,1,0.0625,9.0
1,ucb_surrogate,45,1,0.0625,9.0
1,ucb_surrogate,50,1,0.0625,9.0
1,ucb_surrogate,55,1,0.0625,9.0
1,ucb_surrogate,60,1,0.0625,9.0
2,random,20,0,0.0,8.5228786
2,random,25,0,0.0,8.5228786
2,random,30,0,0.0,8.5228786
2,random,35,0,0.0,8.5228786
2,random,40,0,0.0,8.5228786
2,random,45,0,0.0,8.5228786
2,random,50,0,0.0,8.5228786
2,random,55,0,0.0,8.5228786
2,random,60,0,0.0,8.5228786
2,ucb_surrogate,20,0,0.0,8.5228786
2,ucb_surrogate,25,0,0.0,8.6989698
2,ucb_surrogate,30,0,0.0,8.6989698
2,ucb_surrogate,35,0,0.0,8.6989698
2,ucb_surrogate,40,0,0.0,8.6989698
2,ucb_surrogate,45,0,0.0,8.6989698
2,ucb_surrogate,50,0,0.0,8.6989698
2,ucb_surrogate,55,0,0.0,8.6989698
2,ucb_surrogate,60,0,0.0,8.6989698
3,random,20,0,0.0,8.6197891
3,random,25,0,0.0,8.6989698
3,random,30,0,0.0,8.6989698
3,random,35,0,0.0,8.6989698
3,random,40,0,0.0,8.6989698
