seed,policy,queries,targets_found,target_recall,hit_rate,best_pIC50,enrichment_factor
0,random,150,4,0.05063291139240506,0.02666666666666667,8.8538723,0.5107172995780591
0,greedy_surrogate,150,26,0.3291139240506329,0.17333333333333334,9.1549015,3.319662447257384
0,ucb_surrogate,150,21,0.26582278481012656,0.14,9.0,2.6812658227848107
1,random,150,7,0.08860759493670886,0.04666666666666667,8.7447271,0.8937552742616035
1,greedy_surrogate,150,20,0.25316455696202533,0.13333333333333333,9.1549015,2.5535864978902953
1,ucb_surrogate,150,20,0.25316455696202533,0.13333333333333333,9.0506096,2.5535864978902953
2,random,150,7,0.08860759493670886,0.04666666666666667,8.7212467,0.8937552742616035
2,greedy_surrogate,150,22,0.27848101265822783,0.14666666666666667,9.0,2.8089451476793252
2,ucb_surrogate,150,17,0.21518987341772153,0.11333333333333333,8.7447271,2.170548523206751
3,random,150,10,0.12658227848101267,0.06666666666666667,9.1549015,1.2767932489451477
3,greedy_surrogate,150,22,0.27848101265822783,0.14666666666666667,9.1549015,2.8089451476793252
3,ucb_surrogate,150,25,0.31645569620253167,0.16666666666666666,9.1549015,3.191983122362869
4,random,150,10,0.12658227848101267,0.06666666666666667,9.5228786,1.2767932489451477
4,greedy_surrogate,150,33,0.4177215189873418,0.22,10.522879,4.213417721518987
4,ucb_surrogate,150,28,0.35443037974683544,0.18666666666666668,10.522879,3.575021097046414
5,random,150,7,0.08860759493670886,0.04666666666666667,8.8538723,0.8937552742616035
5,greedy_surrogate,150,28,0.35443037974683544,0.18666666666666668,9.1549015,3.575021097046414
5,ucb_surrogate,150,34,0.43037974683544306,0.22666666666666666,9.5228786,4.341097046413502
6,random,150,8,0.10126582278481013,0.05333333333333334,9.0,1.0214345991561182
6,greedy_surrogate,150,24,0.3037974683544304,0.16,9.004365,3.0643037974683547
6,ucb_surrogate,150,22,0.27848101265822783,0.14666666666666667,9.004365,2.8089451476793252
7,random,150,5,0.06329113924050633,0.03333333333333333,9.0506096,0.6383966244725738
7,greedy_surrogate,150,13,0.16455696202531644,0.08666666666666667,9.1549015,1.659831223628692
7,ucb_surrogate,150,19,0.24050632911392406,0.12666666666666668,10.522879,2.425907172995781
8,random,150,10,0.12658227848101267,0.06666666666666667,9.0,1.2767932489451477
8,greedy_surrogate,150,34,0.43037974683544306,0.22666666666666666,9.004365,4.341097046413502
8,ucb_surrogate,150,33,0.4177215189873418,0.22,9.004365,4.213417721518987
9,random,150,7,0.08860759493670886,0.04666666666666667,9.5228786,0.8937552742616035
9,greedy_surrogate,150,18,0.22784810126582278,0.12,9.0,2.298227848101266
9,ucb_surrogate,150,25,0.31645569620253167,0.16666666666666666,9.0506096,3.191983122362869
10,random,150,12,0.1518987341772152,0.08,9.0,1.5321518987341773
10,greedy_surrogate,150,15,0.189873417721519,0.1,9.0,1.9151898734177217
10,ucb_surrogate,150,25,0.31645569620253167,0.16666666666666666,9.004365,3.191983122362869
11,random,150,3,0.0379746835443038,0.02,9.5228786,0.38303797468354434
11,greedy_surrogate,150,22,0.27848101265822783,0.14666666666666667,9.004365,2.8089451476793252
11,ucb_surrogate,150,34,0.43037974683544306,0.22666666666666666,9.1549015,4.341097046413502
12,random,150,7,0.08860759493670886,0.04666666666666667,8.8239088,0.8937552742616035
12,greedy_surrogate,150,37,0.46835443037974683,0.24666666666666667,9.004365,4.724135021097047
12,ucb_surrogate,150,30,0.379746835443038,0.2,9.004365,3.8303797468354435
13,random,150,10,0.12658227848101267,0.06666666666666667,9.0,1.2767932489451477
13,greedy_surrogate,150,27,0.34177215189873417,0.18,9.1549015,3.4473417721518986
13,ucb_surrogate,150,30,0.379746835443038,0.2,9.1549015,3.8303797468354435
14,random,150,8,0.10126582278481013,0.05333333333333334,9.1549015,1.0214345991561182
14,greedy_surrogate,150,31,0.3924050632911392,0.20666666666666667,10.522879,3.958059071729958
14,ucb_surrogate,150,22,0.27848101265822783,0.14666666666666667,9.1549015,2.8089451476793252
15,random,150,12,0.1518987341772152,0.08,9.5228786,1.5321518987341773
15,greedy_surrogate,150,26,0.3291139240506329,0.17333333333333334,9.1549015,3.319662447257384
15,ucb_surrogate,150,23,0.2911392405063291,0.15333333333333332,9.0,2.9366244725738397
16,random,150,6,0.0759493670886076,0.04,8.6989698,0.7660759493670887
16,greedy_surrogate,150,31,0.3924050632911392,0.20666666666666667,9.1549015,3.958059071729958
16,ucb_surrogate,150,23,0.2911392405063291,0.15333333333333332,9.1549015,2.9366244725738397
17,random,150,8,0.10126582278481013,0.05333333333333334,9.1549015,1.0214345991561182
17,greedy_surrogate,150,37,0.46835443037974683,0.24666666666666667,9.1549015,4.724135021097047
17,ucb_surrogate,150,22,0.27848101265822783,0.14666666666666667,10.522879,2.8089451476793252
18,random,150,4,0.05063291139240506,0.02666666666666667,9.004365,0.5107172995780591
18,greedy_surrogate,150,22,0.27848101265822783,0.14666666666666667,9.1549015,2.8089451476793252
18,ucb_surrogate,150,20,0.25316455696202533,0.13333333333333333,9.1549015,2.5535864978902953
19,random,150,7,0.08860759493670886,0.04666666666666667,10.522879,0.8937552742616035
19,greedy_surrogate,150,31,0.3924050632911392,0.20666666666666667,9.1549015,3.958059071729958
19,ucb_surrogate,150,29,0.3670886075949367,0.19333333333333333,9.004365,3.7027004219409285
