fold,row_id,yield_strength_mpa
0,2,1736.3
0,4,2249.6
0,19,1185.1
0,25,1322.1
0,26,1870.6
0,31,1405.6
0,34,1352.2
0,40,1515.8
0,44,1311.4
0,45,1245.4
0,63,1164.4
0,65,1250.8
0,67,1241.0
0,70,1646.7
0,71,1258.6
0,75,1218.4
0,76,1383.7
0,88,1486.2
0,92,1280.7
0,95,1205.8
0,103,1348.9
0,105,1287.3
0,107,2356.4
0,110,1144.8
0,119,1580.1
0,121,1302.8
0,127,1123.1
0,132,1109.3
0,137,1746.6
0,140,1795.5
0,145,1362.9
0,160,1123.1
0,173,1564.0
0,174,1130.4
0,176,1028.7
0,178,1801.8
0,180,1350.3
0,181,1308.0
0,195,1312.0
0,208,1661.2
0,209,1474.4
0,224,1175.4
0,231,1188.6
0,233,1150.6
0,241,1555.8
0,243,1730.2
0,251,1730.2
0,253,1798.3
0,256,1730.2
0,265,1169.2
0,266,1036.9
0,268,1737.2
0,271,1471.1
0,272,1272.6
0,274,1874.6
0,280,1243.6
0,282,1216.8
0,289,1451.7
0,293,1681.2
0,299,1805.2
0,302,1792.2
0,308,1019.0
0,309,1860.3
1,3,2487.3
1,8,1088.6
1,9,1502.0
1,11,2331.1
1,23,1350.4
1,29,1550.3
1,39,1081.1
1,46,1155.0
1,59,1131.9
1,61,1586.7
1,66,1453.8
1,68,1314.2
1,89,1012.8
1,93,1605.4
1,96,1275.3
1,98,1369.5
1,99,1359.7
1,109,1405.6
1,111,1423.8
1,113,1274.7
1,116,1371.4
1,117,1273.3
1,123,1088.6
1,134,1743.5
1,136,1741.8
1,138,1804.2
1,141,1818.0
1,142,1287.4
1,147,1136.8
1,150,1026.6
1,151,1164.4
1,154,1391.8
1,155,1164.4
1,157,1463.0
1,165,1592.9
1,179,1503.4
1,183,1317.0
1,184,1269.0
1,188,1344.0
1,189,1348.6
1,190,1463.3
1,191,1276.7
1,197,1357.3
1,200,1153.4
1,211,1145.8
1,214,1221.6
1,215,1506.8
1,225,1340.8
1,229,1282.2
1,230,1998.6
1,235,1005.9
1,237,1032.1
1,247,1309.1
1,250,1688.1
1,262,1600.0
1,273,1392.4
1,277,1230.6
1,278,1309.8
1,286,1212.6
1,287,1819.0
1,296,1723.2
1,297,1688.1
1,301,1653.6
2,16,2381.6
2,18,1603.3
2,20,2510.3
2,22,1312.6
2,32,1529.6
2,47,1322.9
2,52,1300.3
2,53,1309.1
2,58,1768.0
2,64,1240.2
2,69,1471.0
2,73,1536.5
2,77,1550.3
2,79,1755.2
2,80,1680.6
2,82,1226.4
2,83,1779.7
2,86,1729.4
2,101,1376.3
2,106,1212.0
2,120,1109.3
2,122,1405.6
2,124,1026.6
2,126,1810.0
2,130,1777.6
2,131,1026.6
2,139,1478.4
2,148,1236.6
2,152,1219.7
2,156,1547.3
2,161,1016.4
2,162,1371.1
2,163,1117.3
2,164,1232.0
2,167,1047.3
2,168,1096.5
2,171,1061.1
2,185,1306.9
2,192,1296.0
2,193,1277.7
2,201,1280.2
2,206,1199.0
2,207,1305.4
2,212,1194.0
2,213,1235.9
2,216,1419.4
2,217,1224.7
2,219,1267.8
2,221,1172.0
2,222,1178.9
2,234,1846.5
2,236,1218.8
2,240,1462.7
2,254,1298.8
2,257,1404.2
2,258,1641.2
